Chromosome	Genomic Position Start	Genomic Position End	MIM Number	Gene/Locus And Other Related Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Phenotypes	moi
chr7	83955777	84492725	603961	SEMA3A, SEMAD, COLL1, HH16	Semaphorin 3A	SEMA3A	10371	ENSG00000075213	{Hypogonadotropic hypogonadism 16 with or without anosmia}, 614897 (3), Autosomal dominant	AD
chr7	87365896	87476027	171060	ABCB4, PGY3, MDR3, ICP3	ATP-binding cassette, subfamily B, member 4 (P-glycoprotein-3/multiple drug resistance-3)	ABCB4	5244	ENSG00000005471	Gallbladder disease 1, 600803 (3), Autosomal recessive, Autosomal dominant	AD/AR
chr7	87934251	88202889	603709	ADAM22, DEE61	ADAM metallopeptidase domain 22	ADAM22	53616	ENSG00000008277	Developmental and epileptic encephalopathy 61, 617933 (3), Autosomal recessive	AR
chr7	90245174	90323723	617949	CFAP69, C7orf63, SPGF24	Cilia- and flagella-associated protein 69	CFAP69	79846	ENSG00000105792	Spermatogenic failure 24, 617959 (3), Autosomal recessive	AR
chr7	91940862	92110673	604001	AKAP9, YOTIAO, AKAP450, LQT11	A-kinase anchor protein 9	AKAP9	10142	ENSG00000127914	?Long QT syndrome 11, 611820 (3), Autosomal dominant	AD
chr7	92198969	92246100	604214	KRIT1, CCM1, CAM	KRIT1 ankyrin repeat-containing protein 1	KRIT1	889	ENSG00000001631	Hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations, 116860 (3), Autosomal dominant	AD
chr7	92447482	92495769	614518	GATAD1, ODAG, CMD2B	GATA zinc finger domain-containing protein 1	GATAD1	57798	ENSG00000157259	?Cardiomyopathy, dilated, 2B, 614672 (3), Autosomal recessive	AR
chr7	92487025	92528520	602136	PEX1, ZWS1, PBD1A, PBD1B, HMLR1	Peroxisome biogenesis factor-1	PEX1	5189	ENSG00000127980	Heimler syndrome 1, 234580 (3), Autosomal recessive	AR
chr7	92604921	92836573	603368	CDK6, PLSTIRE, MCPH12	Cyclin-dependent kinase 6	CDK6	1021	ENSG00000105810	?Microcephaly 12, primary, autosomal recessive, 616080 (3), Autosomal recessive	AR
chr7	93099518	93117979	610456	SAMD9, NFTC, MIRAGE, M7MLS2	Sterile alpha motif domain-containing protein 9	SAMD9	54809	ENSG00000205413	Tumoral calcinosis, familial, normophosphatemic, 610455 (3), Autosomal recessive	AR
chr7	93130056	93148385	611170	SAMD9L, ATXPC, M7MLS1, SCA49	Sterile alpha motif domain-containing 9-like	SAMD9L	219285	ENSG00000177409	Ataxia-pancytopenia syndrome, 159550 (3), Autosomal dominant	AD
chr7	93232366	93361123	616465	VPS50, CCDC132, KIAA1861, NEDMSC	VPS50, EARP/GARPII complex subunit	VPS50	55610	ENSG00000004766	Neurodevelopmental disorder with microcephaly, seizures, and neonatal cholestasis, 619685 (3), Autosomal recessive	AR
chr7	93424486	93574724	114131	CALCR, CRT	Calcitonin receptor	CALCR	799	ENSG00000004948	{Osteoporosis, postmenopausal, susceptibility}, 166710 (3), Autosomal dominant	AD
chr7	93962762	94004355	605456	BET1, MDRP	Bet1 golgi vesicular membrane-trafficking protein	BET1	10282	ENSG00000105829	Muscular dystrophy, congenital, with rapid progression, 254100 (3), Autosomal recessive	AR
chr7	94394895	94431227	120160	COL1A2, EDSCV, EDSARTH2	Collagen I, alpha-2 polypeptide	COL1A2	1278	ENSG00000164692	Osteogenesis imperfecta, type III, 259420 (3), Autosomal dominant	AD
chr7	94584980	94656133	604149	SGCE, DYT11	Sarcoglycan, epsilon	SGCE	8910	ENSG00000127990	Dystonia-11, myoclonic, 159900 (3), Autosomal dominant	AD
chr7	96120220	96322098	603859	SLC25A13, CTLN2, NICCD	Solute carrier family 25 (mitochondrial carrier, citrin), member 13	SLC25A13	10165	ENSG00000004864	Citrullinemia, type II, neonatal-onset, 605814 (3), Autosomal recessive	AR
chr7	97020396	97024831	600028	DLX5, SHFM1D, SHFM1	Distal-less homeobox 5	DLX5	1749	ENSG00000105880	Split-hand/foot malformation 1, 183600 (3), Autosomal dominant	AD
chr7	97851677	97928441	108370	ASNS, ASNSD	Asparagine synthetase	ASNS	440	ENSG00000070669	Asparagine synthetase deficiency, 615574 (3), Autosomal recessive	AR
chr7	98400001	132900000	607458	SCA18, SMNA	Spinal cerebellar ataxia 18		94008		Spinocerebellar ataxia 18, 607458 (2), Autosomal dominant	AD
chr7	98878532	99013241	603015	TRRAP, DEDDFA, DFNA75	Transformation/transcription domain-associated protein	TRRAP	8295	ENSG00000196367	?Deafness, autosomal dominant 75, 618778 (3), Autosomal dominant	AD
chr7	99145804	99219419	614107	KPNA7, OZEMA17	Karyopherin alpha 7	KPNA7	402569	ENSG00000185467	Oocyte/zygote/embryo maturation arrest 17, 620319 (3), Autosomal recessive	AR
chr7	99374259	99394816	604223	ARPC1B, ARC41, IMD71	Actin-related protein 2/3 complex, subunit 1B	ARPC1B	10095	ENSG00000130429	Immunodeficiency 71 with inflammatory disease and congenital thrombocytopenia, 617718 (3), Autosomal recessive	AR
chr7	99756967	99784184	124010	CYP3A4, VDDR3	Cytochrome P450, subfamily IIIA (nifedipine oxidase) polypeptide 4	CYP3A4	1576	ENSG00000160868	Vitamin D-dependent rickets, type 3, 619073 (3), Autosomal dominant	AD
chr7	100100794	100109039	602296	AP4M1, SPG50, CPSQ3	Adaptor-related protein complex 4, mu-1 subunit	AP4M1	9179	ENSG00000221838	Spastic paraplegia 50, autosomal recessive, 612936 (3), Autosomal recessive	AR
chr7	100107070	100127171	602955	TAF6, TAF2E, TAFII80, ALYUS	TAF6 RNA polymerase II, TATA box-binding protein-associated factor, 80kD	TAF6	6878	ENSG00000106290	Alazami-Yuan syndrome, 617126 (3), Autosomal recessive	AR
chr7	100154423	100158723	618350	MAP11, C7orf43, MCPH25	Microtubule-associated protein 11	TRAPPC14	55262	ENSG00000146826	?Microcephaly 25, primary, autosomal recessive, 618351 (3), Autosomal recessive	AR
chr7	100177724	100219334	608489	STAG3, POF8, SPGF61	Stromalin 3	STAG3	10734	ENSG00000066923	Spermatogenic failure 61, 619672 (3), Autosomal recessive	AR
chr7	100620420	100641552	604720	TFR2, HFE3	Transferrin receptor 2	TFR2	7036	ENSG00000106327	Hemochromatosis, type 3, 604250 (3), Autosomal recessive	AR
chr7	100643097	100656448	612458	ACTL6B, BAF53B, IDDSSAD, DEE76	Actin-like 6B	ACTL6B	51412	ENSG00000077080	Developmental and epileptic encephalopathy 76, 618468 (3), Autosomal recessive	AR
chr7	100673740	100679169	139390	GNB2, SSS4; NEDHYDF	Guanine nucleotide-binding protein, beta polypeptide-2	GNB2	2783	ENSG00000172354	Neurodevelopmental disorder with hypotonia and dysmorphic facies, 619503 (3), Autosomal dominant	AD
chr7	100802565	100827523	600011	EPHB4, HTK, MYK1, HFASD, CMAVM2, LMPHM7	Ephrin receptor EphB4 (hepatoma transmembrane kinase)	EPHB4	2050	ENSG00000196411	Capillary malformation-arteriovenous malformation 2, 618196 (3), Autosomal dominant	AD
chr7	101127104	101139247	173360	PAI1, PLANH1, SERPINE1	Plasminogen activator inhibitor, type I	SERPINE1	5054	ENSG00000106366	Plasminogen activator inhibitor-1 deficiency, 613329 (3), Autosomal recessive, Autosomal dominant	AD/AR
chr7	101154476	101161276	603531	AP1S1, CLAPS1, AP19, MEDNIK	Adaptor-related protein complex 1, sigma 1 subunit	AP1S1	1174	ENSG00000106367	MEDNIK syndrome, 609313 (3), Autosomal recessive	AR
chr7	101205984	101217581	603066	PLOD3, LH3	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3 (lysyl hydroxylase 3)	PLOD3	8985	ENSG00000106397	Lysyl hydroxylase 3 deficiency, 612394 (3), Autosomal recessive	AR
chr7	101816007	102283958	116896	CUX1, CUTL1, CDP, GDDI	Cut-like homeobox 1	CUX1	1523	ENSG00000257923	Global developmental delay with or without impaired intellectual development, 618330 (3), Autosomal dominant	AD
chr7	103297435	103347542	603131	PMPCB, MPPB	Peptidase, mitochondrial processing, beta	PMPCB	9512	ENSG00000105819	Multiple mitochondrial dysfunctions syndrome 6, 617954 (3), Autosomal recessive	AR
chr7	103352730	103446207	604943	SLC26A5, PRES, DFNB61	Solute carrier family 26, member 5	SLC26A5	375611	ENSG00000170615	?Deafness, autosomal recessive 61, 613865 (3), Autosomal recessive	AR
chr7	103471789	103989658	600514	RELN, RL, LIS2, ETL7	Reelin	RELN	5649	ENSG00000189056	{Epilepsy, familial temporal lobe, 7}, 616436 (3), Autosomal dominant	AD
chr7	105014205	105115019	608444	KMT2E, MLL5, ODLURO	Lysine (K)-specific methyltransferase 2E	KMT2E	55904	ENSG00000005483	O'Donnell-Luria-Rodan syndrome, 618512 (3), Autosomal dominant	AD
chr7	105456501	105522271	616261	PUS7, KIAA1897, IDDABS	Pseudouridylate synthase 7, putative	PUS7	54517	ENSG00000091127	Intellectual developmental disorder with abnormal behavior, microcephaly, and short stature, 618342 (3), Autosomal recessive	AR
chr7	105532201	105567677	610089	RINT1, ILFS3	RAD50-interacting protein 1	RINT1	60561	ENSG00000135249	Infantile liver failure syndrome 3, 618641 (3), Autosomal recessive	AR
chr7	106865282	106908980	601232	PIK3CG, IMD97	Phosphatidylinositol 3-kinase, catalytic, gamma	PIK3CG	5294	ENSG00000105851	Immunodeficiency 97 with autoinflammation, 619802 (3), Autosomal recessive	AR
chr7	107201372	107563920	606821	COG5, GOLTC1, GTC90, CDG2I	Component of oligomeric golgi complex 5	COG5	10466	ENSG00000164597	Congenital disorder of glycosylation, type IIi, 613612 (3), Autosomal recessive	AR
chr7	107660828	107717809	605646	SLC26A4, PDS, DFNB4, EVA, TDH2B	Solute carrier family 26 (sulfate transporter), member 4	SLC26A4	5172	ENSG00000091137	Deafness, autosomal recessive 4, with enlarged vestibular aqueduct, 600791 (3), Autosomal recessive	AR
chr7	107765469	107803223	126650	SLC26A3, DRA, CLD	Solute carrier family 26 (sulfate transporter), member 3	SLC26A3	1811	ENSG00000091138	Diarrhea 1, secretory chloride, congenital, 214700 (3), Autosomal recessive	AR
chr7	107800001	127500000	603678	DFNB14	Deafness, autosomal recessive 14		1706		Deafness, autosomal recessive 14, 603678 (2), Autosomal recessive	AR
chr7	107800001	127500000	603010	DFNB17	Deafness, autosomal recessive 17		1709		Deafness, autosomal recessive 17, 603010 (2), Autosomal recessive	AR
chr7	107891107	107921198	238331	DLD, LAD, PHE3, DLDD	Dihydrolipoamide dehydrogenase (E3 component of pyruvate dehydrogenase complex, 2-oxo-glutarate complex)	DLD	1738	ENSG00000091140	Dihydrolipoamide dehydrogenase deficiency, 246900 (3), Autosomal recessive	AR
chr7	107923799	108003161	150240	LAMB1, LIS5	Laminin, beta-1	LAMB1	3912	ENSG00000091136	Lissencephaly 5, 615191 (3), Autosomal recessive	AR
chr7	108147649	108456720	601581	NRCAM, NEDNMS	Neuronal cell adhesion molecule	NRCAM	4897	ENSG00000091129	Neurodevelopmental disorder with neuromuscular and skeletal abnormalities, 619833 (3), Autosomal recessive	AR
chr7	108470417	108528178	612123	PNPLA8, MMLA	Patatin-like phospholipase domain-containing protein 8	PNPLA8	50640	ENSG00000135241	?Mitochondrial myopathy with lactic acidosis, 251950 (3), Autosomal recessive	AR
chr7	113876777	113919009	600917	PPP1R3A, PPP1R3	Protein phosphatase 1, regulatory subunit 3A	PPP1R3A	5506	ENSG00000154415	Insulin resistance, severe, digenic, 125853 (3), Autosomal dominant	AD
chr7	114086327	114693765	605317	FOXP2, SPCH1, TNRC10, CAGH44	Forkhead box P2	FOXP2	93986	ENSG00000128573	Speech-language disorder-1, 602081 (3), Autosomal dominant	AD
chr7	114922094	115019917	614511	MDFIC, HIC, LMPHM12	MYOD family inhibitor domain-containing protein	MDFIC	29969	ENSG00000135272	Lymphatic malformation 12, 620014 (3), Autosomal recessive	AR
chr7	116525009	116561185	601047	CAV1, BSCL3, CGL3, PPH3, LCCNS	Caveolin-1	CAV1	857	ENSG00000105974	Lipodystrophy, congenital generalized, type 3, 612526 (3), Autosomal recessive	AR
chr7	117480025	117668665	602421	CFTR, ABCC7, CF, MRP7	Cystic fibrosis transmembrane conductance regulator (ATP-binding cassette, subfamily C, member 7)	CFTR	1080	ENSG00000001626	Cystic fibrosis, 219700 (3), Autosomal recessive	AR
chr7	120787320	120858335	613138	TSPAN12, NET2, EVR5	Tetraspanin 12	TSPAN12	23554	ENSG00000106025	Exudative vitreoretinopathy 5, 613310 (3), Autosomal dominant	AD
chr7	122073549	122144249	605113	AASS	Alpha-aminoadipic semialdehyde synthase	AASS	10157	ENSG00000008311	Hyperlysinemia, 238700 (3), Autosomal recessive	AR
chr7	122301303	122310723	613301	FEZF1, FEZ, ZNF312B, HH22	FEZ family zinc finger protein 1	FEZF1	389549	ENSG00000128610	Hypogonadotropic hypogonadism 22, with or without anosmia, 616030 (3), Autosomal recessive	AR
chr7	123655866	123664290	608006	LMOD2, CLMOD, CMD2G	Leiomodin 2	LMOD2	442721	ENSG00000170807	Cardiomyopathy, dilated, 2G, 619897 (3), Autosomal recessive	AR
chr7	124822386	124929825	606478	POT1, PFBMFT8, CRMCC3, TPDS3	Protection of telomeres 1	POT1	25913	ENSG00000128513	Tumor predisposition syndrome 3, 615848 (3), Autosomal dominant	AD
chr7	127500001	138500000	613909	SCA32	Spinocerebellar ataxia 32		NA		Spinocerebellar ataxia 32, 613909 (2), Autosomal dominant	AD
chr7	127610292	127618142	167413	PAX4, MODY9, KPD	Paired box homeotic gene-4	PAX4	5078	ENSG00000106331	{Diabetes mellitus, ketosis-prone, susceptibility to}, 612227 (3), Autosomal recessive, Autosomal dominant	AD/AR
chr7	128241278	128257629	164160	LEP, OB, LEPD	Leptin (murine obesity homolog)	LEP	3952	ENSG00000174697	Obesity, morbid, due to leptin deficiency, 614962 (3), Autosomal recessive	AR
chr7	128297685	128343908	612074	RBM28, ANES	RNA-binding motif protein 28	RBM28	55131	ENSG00000106344	?Alopecia, neurologic defects, and endocrinopathy syndrome, 612079 (3), Autosomal recessive	AR
chr7	128392277	128409982	146690	IMPDH1, RP10, LCA11	Inosine-5'-monophosphate dehydrogenase, type I	IMPDH1	3614	ENSG00000106348	Retinitis pigmentosa 10, 180105 (3), Autosomal dominant	AD
chr7	128772485	128775794	613522	OPN1SW, BCP, CBT	Blue cone pigment (opsin 1, short-wave-sensitive)	OPN1SW	611	ENSG00000128617	Colorblindness, tritan, 190900 (3), Autosomal dominant	AD
chr7	128830406	128859272	102565	FLNC, FLN2, ABPA, ABPL, MFM5, MPD4, CMH26, RCM5, ARVC15	Filamin C (actin-binding protein-280)	FLNC	2318	ENSG00000128591	Cardiomyopathy, familial hypertrophic, 26, 617047 (3), Autosomal dominant	AD
chr7	128954185	129056193	610032	TNPO3, TRNSR, LGMDD2	Transportin 3	TNPO3	23534	ENSG00000064419	Muscular dystrophy, limb-girdle, autosomal dominant 2, 608423 (3), Autosomal dominant	AD
chr7	129188633	129213545	601500	SMO, SMOH, CRJS, PHLS	Smoothened, frizzled class receptor	SMO	6608	ENSG00000128602	Pallister-Hall-like syndrome, 241800 (3), Autosomal recessive	AR
chr7	129600001	152800000	146450	HYSP3	Hypospadias 3, autosomal		100689211		Hypospadias 3, autosomal, 146450 (2), Multifactorial, Autosomal dominant	AD
chr7	129774692	129774769	611606	MIR96, MIRN96, DFNA50	Micro RNA 96	MIR96	407053	ENSG00000199158	Deafness, autosomal dominant 50, 613074 (3), Autosomal dominant	AD
chr7	130393771	130441741	610523	CEP41, TSGA14, JBTS15	Centrosomal protein, 41kD	CEP41	95681	ENSG00000106477	Joubert syndrome 15, 614464 (3), Autosomal recessive	AR
chr7	134646853	134679816	613896	BPGM, ECYT8	2,3-bisphosphoglycerate mutase	BPGM	669	ENSG00000172331	Erythrocytosis, familial, 8, 222800 (3), Autosomal recessive	AR
chr7	135557917	135648753	614352	NUP205, C7orf14, KIAA0225, NPHS13	Nucleoporin, 205kD	NUP205	23165	ENSG00000155561	?Nephrotic syndrome, type 13, 616893 (3), Autosomal recessive	AR
chr7	138076459	138118305	604741	AKR1D1, SRD5B1, CBAS2	Bile acid synthesis defect, congenital, 2	AKR1D1	6718	ENSG00000122787	Bile acid synthesis defect, congenital, 2, 235555 (3), Autosomal recessive	AR
chr7	138500001	143400000	614158	BDPLT14	Bleeding disorder, platelet-type, 14		116814566		Bleeding disorder, platelet-type, 14, 614158 (2), Autosomal dominant	AD
chr7	138500001	159345973	603098	DFNB13	Deafness, autosomal recessive 13		1705		Deafness, autosomal recessive 13, 603098 (2), Autosomal recessive	AR
chr7	138500001	159345973	182960	HMND1, DHMN1	Neuronopathy, distal hereditary motor, autosomal dominant 1		NA		Neuronopathy, distal hereditary motor, autosomal dominant 1, 182960 (4), Autosomal dominant	AD
chr7	138500001	159345973	605727	OTSC2	Otosclerosis 2		93999		Otosclerosis 2, 605727 (2), Autosomal dominant	AD
chr7	138706294	138798196	605239	ATP6V0A4, ATP6N1B, VPP2, RTA1C, DRTA3	ATPase, H+ transporting, V0 subunit A4	ATP6V0A4	50617	ENSG00000105929	Distal renal tubular acidosis 3, with or without sensorineural hearing loss, 602722 (3), Autosomal recessive	AR
chr7	138831381	138981389	613344	KIAA1549, RP86	KIAA1549 gene	KIAA1549	57670	ENSG00000122778	Retinitis pigmentosa 86, 618613 (3), Autosomal recessive	AR
chr7	139133778	139191986	617453	TTC26, IFT56, BRENS	Tetratricopeptide repeat domain-containing protein 26	IFT56	79989	ENSG00000105948	Biliary, renal, neurologic, and skeletal syndrome, 619534 (3), Autosomal recessive	AR
chr7	139778242	140020293	274180	TBXAS1, GHOSAL, CYP5	Thromboxane A synthase 1, platelet	TBXAS1	6916	ENSG00000059377	Ghosal hematodiaphyseal syndrome, 231095 (3), Autosomal recessive	AR
chr7	141551410	141655244	610345	AGK, MULK, MTDPS10, CATC5, CTRCT38	Acylglycerol kinase	AGK	55750	ENSG00000006530	Cataract 38, autosomal recessive, 614691 (3), Autosomal recessive	AR
chr7	141708353	141731271	614084	WEE2, WEE1B, OZEMA5	Wee1 homolog 2	WEE2	494551	ENSG00000214102	Oocyte/zygote/embryo maturation arrest 5, 617996 (3), Autosomal recessive	AR
chr7	141738321	141750488	600439	SSBP1, SSBP, OPA13	Single-stranded DNA-binding protein 1	SSBP1	6742	ENSG00000106028	Optic atrophy 13 with retinal and foveal abnormalities, 165510 (3), Autosomal dominant	AD
chr7	141972631	141973773	607751	TAS2R38, T2R61, PTC, THIOT	Taste receptor, type 2, member 38	TAS2R38	5726	ENSG00000257138	[Phenylthiocarbamide tasting], 171200 (3), Autosomal dominant	AD
chr7	142749472	142753072	276000	PRSS1, TRY1	Protease, serine, 1 (trypsin 1)	PRSS1	5644	ENSG00000204983	Pancreatitis, hereditary, 167800 (3), Autosomal dominant	AD
chr7	142770970	142774560	601564	PRSS2, TRY2	Protease, serine, 2 (trypsin 2)	PRSS2	5645	ENSG00000275896	{Pancreatitis, chronic, protection against}, 167800 (3), Autosomal dominant	AD
chr7	142871208	142885745	606680	TRPV6, ECAC2, CAT1, CATL, HRPTTN	Transient receptor potential cation channel, subfamily V, member 6	TRPV6	55503	ENSG00000165125	Hyperparathyroidism, transient neonatal, 618188 (3), Autosomal recessive	AR
chr7	143288351	143307696	600639	CASP2, NEDD2, ICH1, MRT80	Caspase 2, apoptosis-related cysteine protease (neural precursor cell expressed, developmentally down-regulated 2)	CASP2	835	ENSG00000106144	Intellectual developmental disorder, autosomal recessive 80, with variant lissencephaly, 620653 (3), Autosomal recessive	AR
chr7	143316111	143352083	118425	CLCN1	Chloride channel-1, skeletal muscle	CLCN1	1180	ENSG00000188037	Myotonia congenita, recessive, 255700 (3), Autosomal recessive	AR
chr7	143400001	159345973	600510	OPDG, GPDS1, PDS1	Ocular pigment dispersion with or without glaucoma		7986		Ocular pigment dispersion with or without glaucoma, 600510 (2), Autosomal dominant	AD
chr7	144396900	144410227	610934	NOBOX, POF5	NOBOX oogenesis homeobox	NOBOX	135935	ENSG00000106410	Premature ovarian failure 5, 611548 (3), Autosomal dominant	AD
chr7	144451941	144836437	606370	TPK1, THMD5	Thiamine pyrophosphokinase	TPK1	27010	ENSG00000196511	Thiamine metabolism dysfunction syndrome 5 (episodic encephalopathy type), 614458 (3), Autosomal recessive	AR
chr7	146116801	148420998	604569	CNTNAP2, CASPR2, NRXN4, AUTS15, PTHSL1	Contactin-associated protein-like 2	CNTNAP2	26047	ENSG00000174469	Pitt-Hopkins like syndrome 1, 610042 (3), Autosomal recessive	AR
chr7	148200001	159345973	605967	ACRPS	Acropectoral syndrome		85505		Acropectoral syndrome, 605967 (2), Autosomal dominant	AD
chr7	148200001	159345973	609636	AD10	Alzheimer disease-10		780912		Alzheimer disease-10, 609636 (2), Autosomal dominant	AD
chr7	148807383	148884291	601573	EZH2, EZH1, WVS	Enhancer of zeste, Drosophila, homolog of, 2	EZH2	2146	ENSG00000106462	Weaver syndrome, 277590 (3), Autosomal dominant	AD
chr7	150737418	150743646	608086	GIMAP5, IAN4L1, IMAP3, NCPH2	GTPase, IMAP family, member 5	GIMAP5	55340	ENSG00000196329	Portal hypertension, noncirrhotic, 2, 619463 (3), Autosomal recessive	AR
chr7	151053815	151057897	123831	CDK5, LIS7	Cyclin-dependent kinase 5	CDK5	1020	ENSG00000164885	?Lissencephaly 7 with cerebellar hypoplasia, 616342 (3), Autosomal recessive	AR
chr7	151058200	151076527	109280	SLC4A2, AE2, EPB3L1, OPTB9	Solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)	SLC4A2	6522	ENSG00000164889	?Osteopetrosis, autosomal recessive 9, 620366 (3), Autosomal recessive	AR
chr7	151175698	151187792	615054	ASB10, GLC1F	Ankyrin repeat- and SOCS box-containing protein 10	ASB10	136371	ENSG00000146926	Glaucoma 1, open angle, F, 603383 (3), Autosomal dominant	AD
chr7	151556127	151877115	602743	PRKAG2, WPWS, CMH6	Protein kinase, AMP-activated, noncatalytic, gamma-2	PRKAG2	51422	ENSG00000106617	Glycogen storage disease of heart, lethal congenital, 261740 (3), Autosomal dominant	AD
chr7	152134925	152436003	606833	KMT2C, MLL3, KIAA1506, KLEFS2	Lysine (K)-specific methyltransferase 2C	KMT2C	58508	ENSG00000055609	Kleefstra syndrome 2, 617768 (3), Autosomal dominant	AD
chr7	152644776	152676141	600375	XRCC2, FANCU, SPGF50, POF17	X-ray repair cross complementing 2	XRCC2	7516	ENSG00000196584	Spermatogenic failure 50, 619145 (3), Autosomal recessive	AR
chr7	153748133	154894285	126141	DPP6, VF2, MRD33	Dipeptidylpeptidase VI	DPP6	1804	ENSG00000130226	Intellectual developmental disorder, autosomal dominant 33, 616311 (3), Autosomal dominant	AD
chr7	155799980	155812463	600725	SHH, HPE3, HLP3, SMMCI, MCOPCB5	Sonic hedgehog signaling molecule	SHH	6469	ENSG00000164690	Microphthalmia with coloboma 5, 611638 (3), Autosomal dominant	AD
chr7	156669012	156893183	605522	LMBR1, ACHP, C7orf2, LSS, TPTPS	Limb development membrane protein 1	LMBR1	64327	ENSG00000105983	Syndactyly, type IV, 186200 (3), Autosomal dominant	AD
chr7	156790708	156793079	620738	ZRS	ZPA regulatory sequence		105804841		Polydactyly, preaxial II, 174500 (3), Autosomal dominant	AD
chr7	157004854	157010663	142994	MNX1, HLXB9, HOXHB9, SCRA1	Motor neuron and pancreas homeobox 1	MNX1	3110	ENSG00000130675	Currarino syndrome, 176450 (3), Autosomal dominant	AD
chr7	157138926	157269370	614454	UBE3C, HECTH2, KIAA0010, KIAA10, NEDSMBA	Ubiquitin protein ligase E3C	UBE3C	9690	ENSG00000009335	Neurodevelopmental disorder with absent speech and movement and behavioral abnormalities, 620270 (3), Autosomal recessive	AR
chr7	157337004	157417439	611332	DNAJB6, MRJ, DJ4, LGMDD1	DNAJ/HSP40 homolog, subfamily B, member 6	DNAJB6	10049	ENSG00000105993	Muscular dystrophy, limb-girdle, autosomal dominant 1, 603511 (3), Autosomal dominant	AD
chr7	158631169	158704804	608532	NCAPG2, CAPG2, MTB, 3KS	Non-SMC condensin II complex subunit G2	NCAPG2	54892	ENSG00000146918	Khan-Khan-Katsanis syndrome, 618460 (3), Autosomal recessive	AR
chr7	158839245	158958698	615462	WDR60, SRTD8, SRPS6	WD repeat containing protein 60	DYNC2I1	55112	ENSG00000126870	Short-rib thoracic dysplasia 8 with or without polydactyly, 615503 (3), Autosomal recessive	AR
chr8	1753059	1786570	607837	CLN8, EPMR	CLN8 transmembrane ER and ERGIC protein	CLN8	2055	ENSG00000182372	Ceroid lipofuscinosis, neuronal, 8, Northern epilepsy variant, 610003 (3), Autosomal recessive	AR
chr8	1823300	1958641	608136	ARHGEF10, KIAA0294, SNCV	Rho guanine nucleotide exchange factor 10	ARHGEF10	9639	ENSG00000104728	?Slowed nerve conduction velocity, AD, 608236 (3), Autosomal dominant	AD
chr8	6300001	12800000	222400	DIH2	Diaphragmatic hernia 2		780899		Diaphragmatic hernia 2, 222400 (2), Autosomal recessive	AR
chr8	6406627	6648508	607117	MCPH1	Microcephalin	MCPH1	79648	ENSG00000147316	Microcephaly 1, primary, autosomal recessive, 251200 (3), Autosomal recessive	AR
chr8	6499632	6563245	601922	ANGPT2, ANG2, LMPHM10	Angiopoietin 2	ANGPT2	285	ENSG00000091879	Lymphatic malformation 10, 619369 (3), Autosomal dominant	AD
chr8	9002897	9100104	608739	ERI1, HEXO, SEMDGC, HXAL	Exoribonuclease 1	ERI1	90459	ENSG00000104626	Hoxha-Aliu syndrome, 620662 (3), Autosomal recessive	AR
chr8	10606349	10655143	608581	RP1L1, OCMD, RP88	RP1-like protein 1	RP1L1	94137	ENSG00000183638	Occult macular dystrophy, 613587 (3), Autosomal dominant	AD
chr8	11494387	11564599	191305	BLK, MODY11	BLK protooncogene, SRC family tyrosinase kinase	BLK	640	ENSG00000136573	Maturity-onset diabetes of the young, type 11, 613375 (3), Autosomal dominant	AD
chr8	11676935	11760002	600576	GATA4, ASD2, VSD1, TACHD, TOF	GATA-binding protein-4	GATA4	2626	ENSG00000136574	Tetralogy of Fallot, 187500 (3), Autosomal dominant	AD
chr8	11795582	11839309	184420	FDFT1, DGPT, SQSD	Farnesyl-diphosphate farnesyltransferase 1 (squalene synthase)	FDFT1	2222	ENSG00000079459	Squalene synthase deficiency, 618156 (3), Autosomal recessive	AR
chr8	11842524	11868087	116810	CTSB, CPSB, RECEUP	Cathepsin B (regulatory element, cis-acting, enhancer upstream of CTSB, included)	CTSB	1508	ENSG00000164733	Keratolytic winter erythema, 148370 (4), Autosomal dominant	AD
chr8	12800001	23500000	612789	DFNB71	Deafness, autosomal recessive 71		100302513		Deafness, autosomal recessive 71, 612789 (2), Autosomal recessive	AR
chr8	12800001	54600000	610099	MPD3	Myopathy, distal 3		NA		Myopathy, distal, 3, 610099 (2), Autosomal dominant	AD
chr8	15417188	15852091	601385	TUSC3, M33, D8S1992, MRT7, MRT22	Tumor suppressor candidate 3	TUSC3	7991	ENSG00000104723	Intellectual developmental disorder, autosomal recessive 7, 611093 (3), Autosomal recessive	AR
chr8	16992181	17002345	605558	FGF20, RHDA2	Fibroblast growth factor-20	FGF20	26281	ENSG00000078579	?Renal hypodysplasia/aplasia 2, 615721 (3), Autosomal recessive	AR
chr8	17246958	17333455	609927	VPS37A, HCRP1, SPG53	VPS37A subunit of ESCRIT-I	VPS37A	137492	ENSG00000155975	Spastic paraplegia 53, autosomal recessive, 614898 (3), Autosomal recessive	AR
chr8	18055992	18084961	613468	ASAH1, AC, SMAPME	N-acylsphingosine amidohydrolase (acid ceramidase) 1	ASAH1	427	ENSG00000104763	Spinal muscular atrophy with progressive myoclonic epilepsy, 159950 (3), Autosomal recessive	AR
